feature,importance
PREV_RATE_INTEREST_PRIVILEGED_MAX,178.42050170898438
CC_SK_DPD_DEF_MAX,166.6541976928711
BB_BB_STATUS_4_MEAN,153.0464973449707
CC_RECENT_SK_DPD,152.78109741210938
BUREAU_CREDIT_DAY_OVERDUE_MEAN,145.64979934692383
FLAG_DOCUMENT_14,141.256103515625
BUREAU_CNT_CREDIT_PROLONG_SUM,118.82740020751953
DOC_COUNT_TOTAL,117.4000015258789
CC_CC_DPD_SEVERITY_MAX,106.06499862670898
INST_GETTING_WORSE,102.80830001831055
FLAG_DOCUMENT_5,97.1067008972168
POS_SEVERE_DPD,91.91790008544922
GEO_REGION_CITY_MATCH,76.38480377197266
FLAG_DOCUMENT_16,76.08740234375
DOC_SUBMISSION_RATE,63.874298095703125
AMT_REQ_CREDIT_BUREAU_HOUR,61.51789855957031
BB_GETTING_WORSE,56.40340042114258
POS_DPD_GETTING_WORSE,50.99089813232422
PREV_DAYS_FIRST_DRAWING_MAX,49.58700180053711
CC_UTILIZATION_INCREASING,47.3484001159668
PREV_INTEREST_RATE_RANGE,44.480499267578125
PREV_RATE_INTEREST_PRIVILEGED_MIN,0.0
FLAG_EMP_PHONE,0.0
FLAG_MOBIL,0.0
PREV_RATE_INTEREST_PRIVILEGED_MEAN,0.0
BB_HAS_SERIOUS_DPD,0.0
BB_BB_STATUS_DPD_MAX,0.0
BB_BB_STATUS_3_SUM,0.0
CC_VERY_RECENT_SK_DPD,0.0
FLAG_DOCUMENT_17,0.0
BUREAU_HAS_OVERDUE,0.0
